Word,SegmentationA,SegmentationB,SegmentationC
aaba,a-b-a,a-b-a,a-b-a
aababuka,a-babuk-a,a-babuk-a,a-babuk-a
aababukela,a-babukel-a,a-babukel-a,a-babukel-a
aabamba,a-bamb-a,a-bamb-a,a-bamb-a
aabangela,a-bangel-a,a-bangel-a,a-bangel-a
aabangelwa,a-bangelw-a,a-bangelw-a,a-bangelw-a
aabekezelela,a-bekezelel-a,a-bekezelel-a,a-bekezelel-a
aabekwa,a-bekw-a,a-bekw-a,a-bekw-a
aabetha,a-beth-a,a-beth-a,a-beth-a
aabezwa,a-bezw-a,a-bezw-a,a-bezw-a
aabhala,a-bhal-a,a-bhal-a,a-bhal-a
aabhalwa,a-bhalw-a,a-bhalw-a,a-bhalw-a
aabhanqwa,a-bhanqw-a,a-bhanqw-a,a-bhanqw-a
aabheka,a-bhek-a,a-bhek-a,a-bhek-a
aabhidliza,a-bhidliz-a,a-bhidliz-a,a-bhidliz-a
aabhuntsha,a-bhuntsh-a,a-bhuntsh-a,a-bhuntsh-a
aabiywa,a-biyw-a,a-biyw-a,a-biyw-a
aabiza,a-biz-a,a-biz-a,a-biz-a
aabona,a-bon-a,a-bon-a,a-bon-a
aabonakala,a-bonakal-a,a-bonakal-a,a-bonakal-a
aabongwa,a-bongw-a,a-bongw-a,a-bongw-a
aabonisa,a-bonis-a,a-bonis-a,a-bonis-a
aabopha,a-boph-a,a-boph-a,a-boph-a
aabulala,a-bulal-a,a-bulal-a,a-bulal-a
aabulawa,a-bulaw-a,a-bulaw-a,a-bulaw-a
aabumba,a-bumb-a,a-bumb-a,a-bumb-a
aabusa,a-bus-a,a-bus-a,a-bus-a
aabuyekeza,a-buyekez-a,a-buyekez-a,a-buyekez-a
aacabanga,a-cabang-a,a-cabang-a,a-cabang-a
aacashela,a-cashel-a,a-cashel-a,a-cashel-a
aacela,a-cel-a,a-cel-a,a-cel-a
aachitha,a-chith-a,a-chith-a,a-chith-a
aachuma,a-chum-a,a-chum-a,a-chum-a
aacibishela,a-cibishel-a,a-cibishel-a,a-cibishel-a
aacindezela,a-cindezel-a,a-cindezel-a,a-cindezel-a
aacisha,a-cish-a,a-cish-a,a-cish-a
aadalwa,a-dalw-a,a-dalw-a,a-dalw-a
aadedelwa,a-dedelw-a,a-dedelw-a,a-dedelw-a
aadiliza,a-diliz-a,a-diliz-a,a-diliz-a
aadinga,a-ding-a,a-ding-a,a-ding-a
aadla,a-dl-a,a-dl-a,a-dl-a
aadlala,a-dlal-a,a-dlal-a,a-dlal-a
aadonsa,a-dons-a,a-dons-a,a-dons-a
aadonsela,a-donsel-a,a-donsel-a,a-donsel-a
aaduba,a-dub-a,a-dub-a,a-dub-a
aafa,a-f-a,a-f-a,a-f-a
aafakaza,a-fakaz-a,a-fakaz-a,a-fakaz-a
aafakela,a-fakel-a,a-fakel-a,a-fakel-a
aafeza,a-fez-a,a-fez-a,a-fez-a
aafika,a-fik-a,a-fik-a,a-fik-a
aafisa,a-fis-a,a-fis-a,a-fis-a
aafuna,a-fun-a,a-fun-a,a-fun-a
aafunda,a-fund-a,a-fund-a,a-fund-a
aafundisa,a-fundis-a,a-fundis-a,a-fundis-a
aafundiswa,a-fundisw-a,a-fundisw-a,a-fundisw-a
aafunga,a-fung-a,a-fung-a,a-fung-a
aafungisa,a-fungis-a,a-fungis-a,a-fungis-a
aafuya,a-fuy-a,a-fuy-a,a-fuy-a
aagadlela,a-gadlel-a,a-gadlel-a,a-gadlel-a
aagcina,a-gcin-a,a-gcin-a,a-gcin-a
aagcizelela,a-gcizelel-a,a-gcizelel-a,a-gcizelel-a
aagcwala,a-gcwal-a,a-gcwal-a,a-gcwal-a
aagcwalisa,a-gcwalis-a,a-gcwalis-a,a-gcwalis-a
aagebenga,a-gebeng-a,a-gebeng-a,a-gebeng-a
aagida,a-gid-a,a-gid-a,a-gid-a
aagijima,a-gijim-a,a-gijim-a,a-gijim-a
aagqilaza,a-gqilaz-a,a-gqilaz-a,a-gqilaz-a
aagubha,a-gubh-a,a-gubh-a,a-gubh-a
aagudla,a-gudl-a,a-gudl-a,a-gudl-a
aagudlulela,a-gudlulel-a,a-gudlulel-a,a-gudlulel-a
aagwaza,a-gwaz-a,a-gwaz-a,a-gwaz-a
aagwegwesa,a-gwegwes-a,a-gwegwes-a,a-gwegwes-a
aagwema,a-gwem-a,a-gwem-a,a-gwem-a
aagxeka,a-gxek-a,a-gxek-a,a-gxek-a
aahahela,a-hahel-a,a-hahel-a,a-hahel-a
aahaka,a-hak-a,a-hak-a,a-hak-a
aahalela,a-halel-a,a-halel-a,a-halel-a
aahamba,a-hamb-a,a-hamb-a,a-hamb-a
aahambelana,a-hambelan-a,a-hambelan-a,a-hambelan-a
aahaqa,a-haq-a,a-haq-a,a-haq-a
aahawukela,a-hawukel-a,a-hawukel-a,a-hawukel-a
aahlaba,a-hlab-a,a-hlab-a,a-hlab-a
aahlala,a-hlal-a,a-hlal-a,a-hlal-a
aahlalwa,a-hlalw-a,a-hlalw-a,a-hlalw-a
aahlanganisa,a-hlanganis-a,a-hlanganis-a,isikhutha
aahlanzela,a-hlanzel-a,a-hlanzel-a,a-hlanzel-a
aahlasela,a-hlasel-a,a-hlasel-a,a-hlasel-a
aahlawulisa,a-hlawulis-a,a-hlawulis-a,a-hlawulis-a
aahlela,a-hlel-a,a-hlel-a,a-hlel-a
aahlephuka,a-hlephuk-a,a-hlephuk-a,a-hlephuk-a
aahlephulela,a-hlephulel-a,a-hlephulel-a,a-hlephulel-a
aahlohloloza,a-hlohloloz-a,a-hlohloloz-a,a-hlohloloz-a
aahlongozwa,a-hlongozw-a,a-hlongozw-a,a-hlongozw-a
aahlukanisele,a-ahlukanisel-e,a-ahlukanisel-e,a-ahlukanisel-e
aahlwithwa,a-hlwithw-a,a-hlwithw-a,a-hlwithw-a
aahogela,a-hogel-a,a-hogel-a,a-hogel-a
aahubela,a-hubel-a,a-hubel-a,a-hubel-a
aahudulela,a-hudulel-a,a-hudulel-a,a-hudulel-a
aahungwa,a-hungw-a,a-hungw-a,a-hungw-a
aahunyushwa,a-hunyushw-a,a-hunyushw-a,a-hunyushw-a
aajabulela,a-jabulel-a,a-jabulel-a,a-jabulel-a
aajabulisa,a-jabulis-a,a-jabulis-a,a-jabulis-a
aajoyina,a-joyin-a,a-joyin-a,a-joyin-a
aajoyinwa,a-joyinw-a,a-joyinw-a,a-joyinw-a
aakapakela,a-kapakel-a,a-kapakel-a,a-kapakel-a
aakeleka,a-kelek-a,a-kelek-a,a-kelek-a
aakhangela,a-khangel-a,a-khangel-a,a-khangel-a
aakhanyela,a-khanyel-a,a-khanyel-a,a-khanyel-a
aakhathazeka,a-khathazek-a,a-khathazek-a,a-khathazek-a
aakhazimulisa,a-khazimulis-a,a-khazimulis-a,a-khazimulis-a
aakhetha,a-kheth-a,a-kheth-a,a-kheth-a
aakhihliza,a-khihliz-a,a-khihliz-a,a-khihliz-a
aakhipha,a-khiph-a,a-khiph-a,a-khiph-a
aakhiphana,a-khiphan-a,a-khiphan-a,a-khiphan-a
aakhiqiza,a-khiqiz-a,a-khiqiz-a,a-khiqiz-a
aakhithika,a-khithik-a,a-khithik-a,a-khithik-a
aakhiwe,a-akhiw-e,a-akhiw-e,a-akhiw-e
aakhohlwa,a-khohlw-a,a-khohlw-a,a-khohlw-a
aakhokhisa,a-khokhis-a,a-khokhis-a,uku-khany-a
aakholwa,a-kholw-a,a-kholw-a,a-kholw-a
aakhonza,a-khonz-a,a-khonz-a,a-khonz-a
aakhonzela,a-khonzel-a,a-khonzel-a,a-khonzel-a
aakhuba,a-khub-a,a-khub-a,a-khub-a
aakhula,a-khul-a,a-khul-a,a-khul-a
aakhulisa,a-khulis-a,a-khulis-a,a-khulis-a
aakhuluma,a-khulum-a,a-khulum-a,a-khulum-a
aakhulunywa,a-khulunyw-a,a-khulunyw-a,a-khulunyw-a
aakhumbula,a-khumbul-a,a-khumbul-a,a-khumbul-a
aakhumbuza,a-khumbuz-a,a-khumbuz-a,a-khumbuz-a
aakhushulwa,a-khushulw-a,a-khushulw-a,a-khushulw-a
aakhuthaza,a-khuthaz-a,a-khuthaz-a,a-khuthaz-a
aakhuthazwa,a-khuthazw-a,a-khuthazw-a,a-khuthazw-a
aakhuza,a-khuz-a,a-khuz-a,a-khuz-a
aalahla,a-lahl-a,a-lahl-a,a-lahl-a
aalahlekela,a-lahlekel-a,a-lahlekel-a,a-lahlekel-a
aalahlekelwa,a-lahlekelw-a,a-lahlekelw-a,a-lahlekelw-a
aalahlwa,a-lahlw-a,a-lahlw-a,a-lahlw-a
aalalela,a-lalel-a,a-lalel-a,a-lalel-a
aalalelisisa,a-lalelisis-a,a-lalelisis-a,a-lalelisis-a
aalambela,a-lambel-a,a-lambel-a,a-lambel-a
aalandela,a-landel-a,a-landel-a,a-landel-a
aalandisa,a-landis-a,a-landis-a,a-landis-a
aalandisela,a-landisel-a,a-landisel-a,a-landisel-a
aalele,a-alel-e,a-alel-e,a-alel-e
aaletha,a-leth-a,a-leth-a,a-leth-a
aalila,a-lil-a,a-lil-a,a-lil-a
aalinda,a-lind-a,a-lind-a,a-lind-a
aaliwe,a-aliw-e,a-aliw-e,a-aliw-e
aalondoloza,a-londoloz-a,a-londoloz-a,a-londoloz-a
aaluka,a-luk-a,a-luk-a,a-luk-a
aalwela,a-lwel-a,a-lwel-a,a-lwel-a
aama,a-m-a,a-m-a,a-m-a
aamanda,a-mand-a,a-mand-a,a-mand-a
aamangaleka,a-mangalek-a,a-mangalek-a,a-mangalek-a
aamasha,a-mash-a,a-mash-a,a-mash-a
aamela,a-mel-a,a-mel-a,a-mel-a
aamelelwa,a-melelw-a,a-melelw-a,a-melelw-a
aamenyezelwa,a-menyezelw-a,a-menyezelw-a,a-menyezelw-a
aaminya,a-miny-a,a-miny-a,a-miny-a
aamukela,a-mukel-a,a-mukel-a,a-mukel-a
aanamuka,a-namuk-a,a-namuk-a,a-namuk-a
aancintisana,a-ncintisan-a,a-ncintisan-a,a-ncintisan-a
aanciphisa,a-nciphis-a,a-nciphis-a,a-nciphis-a
aandiswe,a-andisw-e,a-andisw-e,a-andisw-e
aangcolisa,a-ngcolis-a,a-ngcolis-a,a-ngcolis-a
aangcwaba,a-ngcwab-a,a-ngcwab-a,a-ngcwab-as-enanan-a
aangenela,a-ngenel-a,a-ngenel-a,a-ngenel-a
aangenelela,a-ngenelel-a,a-ngenelel-a,a-ngenelel-a
aangenisa,a-ngenis-a,a-ngenis-a,a-ngenis-a
aangungwa,a-ngungw-a,a-ngungw-a,a-ngungw-a
aanikela,a-nikel-a,a-nikel-a,a-nikel-a
aanikeza,a-nikez-a,a-nikez-a,isibalo
aanikezwa,a-nikezw-a,a-nikezw-a,a-nikezw-a
aanquma,a-nqum-a,a-nqum-a,a-nqum-a
aanxiba,a-nxib-a,a-nxib-a,a-nxib-a
aanxuswa,a-nxusw-a,a-nxusw-a,a-nxusw-a
aanyatheliswa,a-nyathelisw-a,a-nyathelisw-a,a-nyathelisw-a
aaoda,a-od-a,a-od-a,a-od-a
aaoma,a-om-a,a-om-a,a-om-a
aaondela,a-ondel-a,a-ondel-a,a-ondel-a
aaophisa,a-ophis-a,a-ophis-a,a-ophis-a
aaphakamisa,a-phakamis-a,a-phakamis-a,a-phakamis-a
aaphanga,a-phang-a,a-phang-a,a-phang-a
aaphangisa,a-phangis-a,a-phangis-a,a-phangis-a
aaphawula,a-phawul-a,a-phawul-a,a-phawul-a
aaphawuleka,a-phawulek-a,a-phawulek-a,a-phawulek-a
aaphekula,a-phekul-a,a-phekul-a,a-phekul-a
aaphelelisa,a-phelelis-a,a-phelelis-a,a-phelelis-a
aaphihliza,a-phihliz-a,a-phihliz-a,a-phihliz-a
aaphilela,a-philel-a,a-philel-a,a-philel-a
aaphinda,a-phind-a,a-phind-a,a-phind-a
aaphishekela,a-phishekel-a,a-phishekel-a,a-phishekel-a
aaphoqelelwa,a-phoqelelw-a,a-phoqelelw-a,a-phoqelelw-a
aaphuma,a-phum-a,a-phum-a,a-phum-a
aaphumuza,a-phumuz-a,a-phumuz-a,a-phumuz-a
aaphunga,a-phung-a,a-phung-a,a-phung-a
aaphunyukwa,a-phunyukw-a,a-phunyukw-a,a-phunyukw-a
aaphusha,a-phush-a,a-phush-a,a-phush-a
aaphuthwa,a-phuthw-a,a-phuthw-a,a-phuthw-a
aaphuza,a-phuz-a,a-phuz-a,a-phuz-a
aapikla,a-pikl-a,a-pikl-a,a-pikl-a
aaprofetha,a-profeth-a,a-profeth-a,a-profeth-a
aaqala,a-qala,a-qala,a-qala
aaqapha,a-qaph-a,a-qaph-a,a-qaph-a
aaqaphela,a-qaphel-a,a-qaphel-a,a-qaphel-a
aaqaqwa,a-qaqw-a,a-qaqw-a,a-qaqw-a
aaqava,a-qav-a,a-qav-a,a-qav-a
aaqedana,a-qedan-a,a-qedan-a,a-qedan-a
aaqhathwa,a-qhathw-a,a-qhathw-a,a-qhathw-a
aaqhelela,a-qhelel-a,a-qhelel-a,a-qhelel-a
aaqhephula,a-qhephul-a,a-qhephul-a,a-qhephul-a
aaqhuba,a-qhub-a,a-qhub-a,a-qhub-a
